"partnerId","type","organization","energy","active","zip","city","street","houseNumber","iban","bic","bank","accountHolder","accountingAllocationIndicator","deleted","reminderEmailAddress"
"9904095000002","provider","Stadtwerke Eberbach GmbH","electricity","1","69412","Eberbach","Güterbahnhofstr. 	","4",,NULL,NULL,,"standard","0","netznutzung@sw-eberbach.de	"
"9903948000002","provider","SW PFULLENDORF ","electricity","1","88630","Pfullendorf","Bahnhofstr.","6","DE50690516200000433029","SOLADES1PFD","SPARKASSE PFULLENDORF-MESSKIRCH",,"standard","0","info@stadtwerke-pfullendorf.de"
"9903115000009","provider","MVV ENERGIE ","electricity","1","68159","Mannheim","Luisenring","49",,"SOLADEST671","Baden-Württembergische Bank",,"standard","0","lieferantenwechsel-mannheim@soluvia.de"
"9903104000002","provider","SW FLENSBURG ","electricity","1","24939","Flensburg","Batteriestr.","48",,"NOLADE21NOS","NORD-OSTSEE SPARKASSE",,"standard","0","lieferantenwechsel@stadtwerke-flensburg.de"
"9903713000005","provider","SW TROISDORF GMBH ","electricity","1","53840","Troisdorf","Poststr.","105",,"GENODED1RST","VR-BANK RHEIN-SIEG EG",,"standard","0","jetzt-gewechselt@stadtwerke-troisdorf.de"
"9903178000004","provider","ZEAG ENERGIE AG ","electricity","1","74076","Heilbronn","Weipertstr.","41",,"HEISDE66XXX","Kreissparkasse Heilbronn",,"standard","0","lieferantenwechsel@hn-ewv.de"
"9904009000006","provider","LECH EW ","electricity","1","86150","Augsburg","Schaezlerstr.","3",,"DRESDEFF720","COMMERZBANK AG (FORMERLY DRESDNER BANK AG)",,"standard","0","clearing-vertrieb@lew.de"
"9903651000000","provider","SW SCHIFFERSTADT ","electricity","1","67105","Schifferstadt","Mühlstraße 	","18",,"LUHSDE6AXXX","SPARKASSE VORDERPFALZ",,"standard","0","Backoffice-Strom-Vertrieb@sw-schifferstadt.de"
"9903004000003","provider","SWK ENERGIE GMBH ","electricity","1","47804","Krefeld",,,,"SPKRDE33XXX","SPARKASSE KREFELD",,"standard","0","marktpartneranfragen@swk.de"
"9903212000001","provider","SW DÜSSELDORF","electricity","1","4023340002","Düsseldorf","Höherweg","100",,"DUSSDEDDXXX","STADTSPARKASSE DUESSELDORF",,"standard","0","clearing-lieferantenwechsel@swd-ag.de"
"9903159000007","provider","SW HEIDELBERG Energie GmbH","electricity","1","69115","Heidelberg","Kurfürstenanlage","42-50","DE79672500200000011100","SOLADES1HDB","SPARKASSE HEIDELBERG",,"standard","0","marktkommunikation@swhd.de"
"9903971000003","provider","SW WEINHEIM ","electricity","1","69469","Weinheim","Breitwieserweg","5",,"MANSDE66XXX","SPARKASSE RHEIN NECKAR NORD",,"standard","0","shared_service@sww.de [NON-EDIFACT]"
"9903410000001","provider","SW ETTLINGEN ","electricity","1","76275","Ettlingen","Hertzstr.","33",,"DRESDEFF660","COMMERZBANK AG (FORMERLY DRESDNER BANK AG)",,"standard","0","kuendigung@sw-ettlingen.de"
"9903431000006","provider","SW MÜHLACKER ","electricity","1","75417","Mühlacker",,,,"PZHSDE66XXX","SPARKASSE PFORZHEIM CALW",,"standard","0","swm@stadtwerke-muehlacker.de"
"9903627000000","provider","ALBSTADTWERKE GMBH","electricity","1","4294967295","Albstadt","Goethestr.","91",,"GENODES1EBI","VOLKSBANK ALBSTADT EG",,"standard","0","Vertrieb.Service@albstadtwerke.de"
"9903067000008","provider","LICHTBLICK ","electricity","1","20359","Hamburg","Zirkusweg","6","DE68200400000636465703","COBADEFFXXX","COMMERZBANK AG",,"standard","0","fragen_edifact@lichtblick.de"
"9903145000003","provider","MARK-E ","electricity","1","58093","Hagen","Platz der Impulse","1",,"DRESDEFF450","COMMERZBANK AG (FORMERLY DRESDNER BANK AG)",,"standard","0","wechselmanagement@enervie-gruppe.de"
"9904216000005","provider","SALES & SOLUTIONS GMBH","electricity","1","60528","Frankfurt","Lyoner Str.          44-","48","DE70500800000096299501","DRESDEFFXXX","COMMERZBANK AG (FORMERLY DRESDNER BANK AG)",,"standard","0","UTILMD.info@watt.de"
"9903301000003","provider","ECOSWITCH ","electricity","1","74564","Crailsheim","Friedrich-Bergius-Str.","10-14",,"SOLADES1SHA","SPARKASSE SCHWAEBISCH HALL-CRAILSHEIM",,"standard","0","sinja.genenz@ecoswitch.de"
"9903111000003","provider","ENERCITY AG","electricity","1","30449","Hannover","Ihmeplatz","2","DE76250501800000106500","SPKHDE2HXXX","SPARKASSE HANNOVER",,"standard","0","postversorgerwechsel@enercity.de"
"9903102000004","provider","ENERGIE ISERLOHN-MENDEN ","electricity","1","58638","Iserlohn","Stefanstr.","4-8",,"WELADED1ISL","SPARKASSE DER STADT ISERLOHN",,"standard","0","m.vonderheyde@energie-ag.de"
"9903152000004","provider","NATURPUR ENERGIE AG ","electricity","1","64293","Darmstadt","Frankfurter Str.","100",,"COBADEFFXXX","COMMERZBANK AG",,"standard","0","hitzelR@naturpur-energie.ag"
"9903443000002","provider","SW SPEYER ","electricity","1","67346","Speyer","Georg-Peter-Süß-Str. ","2",,"LUHSDE6AXXX","SPARKASSE VORDERPFALZ",,"standard","0","lieferant@edi.sws-managed.de"
"9904325000003","provider","Ensys GmbH","electricity","1","60528","Frankfurt am Main","Hahnstraße ","70",,"DRESDEFFXXX","COMMERZBANK AG (FORMERLY DRESDNER BANK AG)",,"standard","0","lieferantenwechsel_ensys@twl.de"
"9903151000005","provider","SW LEIPZIG ","electricity","1","04109","Leipzig","Augustusplatz","7",,NULL,NULL,,"standard","0","versorgerwechsel@swl.de"
"9903183000007","provider","MAINOVA ","electricity","1","60623","Frankfurt","Solmsstr.","38",,"HELADEFFXXX","LANDESBANK HESSEN-THUERINGEN GIROZENTRALE",,"standard","0","lieferantenwechsel-mainova@mainova.de"
"9903589000007","provider","GETEC ENERGIE GmbH","electricity","1","30159","Hannover","An der Börse ","4",,"DRESDEFF250","COMMERZBANK AG (FORMERLY DRESDNER BANK AG)",,"standard","0","Marktkommunikation@getec-energie.de"
"9904144000002","provider","MASCHINENRINGE GMBH ","electricity","1","86633","Neuburg","Am Maschinenring","1",,"COBADEFFXXX","COMMERZBANK AG",,"standard","0","service_team@landenergie.de"
"9903272000009","provider","SW GAGGENAU ","electricity","1","76571","Gaggenau",,,,"SOLADES1BAD","SPARKASSE BADEN-BADEN GAGGENAU",,"standard","0","lieferant@stadtwerke-gaggenau.de"
"4041408000007","provider","YELLO STROM GMBH","electricity","1","50679","Köln","Siegburger Str.","229","DE63700100800681163807","PBNKDEFFXXX","DB PRIVAT- UND FIRMENKUNDENBANK AG (POSTBANK)",,"standard","0","netzzugang-strom@yello.de"
"9903214000009","provider","EPRIMO GMBH ","electricity","1","63263","Neu-Isenburg","Flughafenstr.","20",,"HELADEF1GRG","KREISSPARKASSE GROSS-GERAU",,"standard","0","kundenservice@eprimo.de"
"9903852000007","provider","Stadtwerke Sigmaringen GmbH","electricity","1","72488","Sigmaringen","Marie-Curie-Str. ","8",,"SOLADES1SIG","HOHENZOLLERISCHE LANDESBANK KREISSPARKASSE",,"standard","0","service@stadtwerke-sigmaringen.de"
"4260154980047","provider","SWP STADTWERKE PFORZHEIM ","electricity","1","75179","Pforzheim","Sandweg","22",,"PZHSDE66XXX","SPARKASSE PFORZHEIM CALW",,"standard","0","Lieferantenwechsel-SLP@stadtwerke-pforzheim.de	"
"9903158000008","provider","EV OFFENBACH ","electricity","1","63067","Offenbach am Main","Andrestr.","71",,"HELADEF1OFF","STAEDTISCHE SPARKASSE OFFENBACH",,"standard","0","lieferantenwechsel-offenbach@soluvia.de"
"9903161000003","provider","SW BUCHEN ","electricity","1","74722","Buchen","Am Hohen Markstein","3",,"SOLADES1MOS","SPARKASSE NECKARTAL-ODENWALD",,"standard","0","noe@swb4u.de"
"9903339000009","provider","EGT ENERGIEHANDEL","electricity","1","78098","Triberg","Schonacher Str.","2",,"GENODE61TRI","VOLKSBANK TRIBERG EG",,"standard","0","versorgungsmanagement@egt.de"
"9903180000000","provider","SW WALDSHUT-TIENGEN ","electricity","1","79761","Waldshut-Tiengen","Peter-Thumb-Str.","1",,"SKHRDE6WXXX","SPARKASSE HOCHRHEIN",,"standard","0","vertrieb@stadtwerke-wt.de"
"9903420000009","provider","SW TÜBINGEN ","electricity","1","72072","Tübingen","Eisenhutstr.","6",,"SOLADES1TUB","KREISSPARKASSE TUEBINGEN",,"standard","0","Lieferantenwechsel-vertrieb@swtue.de"
"9903108000008","provider","BESTENERGY ","electricity","1","12053","Berlin","Rollbergstr.","70",,"COBADEFFXXX","COMMERZBANK AG",,"standard","0",
"9903274000007","provider","SÜWAG VERTRIEB ","electricity","1","65929","Frankfurt","Schützenbleiche","9-11",,"COBADEFFXXX","COMMERZBANK AG",,"standard","0","versorgung@suewag.de"
"9903822000003","provider","SW WERTHEIM ","electricity","1","97877","Wertheim",,,,"SOLADES1TBB","SPARKASSE TAUBERFRANKEN",,"standard","0","edm@stadtwerke-wertheim.de"
"9903459000004","provider","SW BOCHUM ","electricity","1","44787","Bochum","Ostring","28",,"WELADED1BOC","SPARKASSE BOCHUM",,"standard","0","marktkommunikation@evu-zaehlwerk.de"
"9903584000002","provider","Technische Werke Ludwigshafen am Rhein AG","electricity","1","67063","Ludwigshafen","Industriestr.","3",,"LUHSDE6AXXX","SPARKASSE VORDERPFALZ",,"standard","0","lieferantenwechsel@twl.de"
"9903324000006","provider","EWE VERTRIEB GMBH","electricity","1","26123","Oldenburg","Donnerschweer Str.","22-26","DE59280200501422112100","OLBODEH2XXX","OLDENBURGISCHE LANDESBANK AG",,"standard","0","Lieferantenwechsel-vertrieb@ewe.de"
"9903135000005","provider","N-ERGIE AKTIENGESELLSCHAFT ","electricity","1","90429","Nürnberg","Am Plärrer","43",,NULL,NULL,,"standard","0","versorgerwechsel@n-ergie.de"
"9903092000007","provider","24SIEBEN ","electricity","1","24113","Kiel","Uhlenkrog","32",,"NOLADE21KIE","FOERDE SPARKASSE",,"standard","0","versorgerwechsel@swkiel.de"
"9903555000007","provider","SW Rastatt GmbH","electricity","1","76437","Rastatt","Markgrafenstr.","7",,"VBRADE6KXXX","VOLKSBANK BADEN-BADEN RASTATT EG",,"standard","0","lieferantenwechsel@stadtwerke-rastatt.de"
"9903024000009","provider","SW VIERNHEIM ","electricity","1","68519","Viernheim","Industriestr.","2",,"HELADEF1HEP","SPARKASSE STARKENBURG",,"standard","0","edm@emserv-gmbh.com"
"9903993000007","provider","SW BADEN-BADEN ","electricity","1","76530","Baden-Baden","Waldseestraße ","24",,"SOLADES1BAD","SPARKASSE BADEN-BADEN GAGGENAU",,"standard","0","lief@swbad.de"
"9903872000003","provider","EV BRUCHSAL ","electricity","1","76646","Bruchsal","Schnabel-Henning-Str.","1a",,"BRUSDE66XXX","SPARKASSE KRAICHGAU BRUCHSAL-BRETTEN-SINSHEIM",,"standard","0","datenpool@ewb-bruchsal.de"
"9903257000008","provider","SW MOSBACH ","electricity","1","74821","Mosbach","Am Henschelberg","6",,"SOLADES1MOS","SPARKASSE NECKARTAL-ODENWALD",,"standard","0","b.kroeninger@swm-online.de"
"4038777000004","provider","UNIPER ENERGY SALES GMBH","electricity","1","40219","Düsseldorf","Holzstraße ","6",,"DEUTDEMMXXX","DEUTSCHE BANK AG",,"standard","0","lieferantenwechsel.strom@uniper.energy"
"9903144000004","provider","ENTEGA Plus GmbH","electricity","1","64293","Darmstadt","Frankfurter Straße","100","DE32550501200200007136","MALADE51MNZ","SPARKASSE MAINZ",,"standard","0","kundenanmeldung@entega.de"
"9903252000003","provider","GW.GUNDELFINGEN ","electricity","1","79194","Gundelfingen","Alte Bundesstr.","35",,NULL,NULL,,"standard","0","heike.dewerd@gundelfingen.de"
"9903251000004","provider","BADENOVA AG & CO.KG","electricity","1","79108","Freiburg","Tullastraße","61",,"FRSPDE66XXX","SPARKASSE FREIBURG-NOERDLICHER BREISGAU",,"standard","0","Lieferantenwechsel.badenova@energiexchange.de"
"9903224000007","provider","BRAUNSCHWEIGER VERSORGUNGS AG","electricity","1","38106","Braunschweig","Taubenstr.","7","DE80250500000000824706","NOLADE2HXXX","NORDDEUTSCHE LANDESBANK GIROZENTRALE",,"standard","0","netznutzungsmanagement@bs-energy.de"
"9903448000007","provider","PFALZWERKE AKTIENGESELLSCHAFT","electricity","1","67061","Ludwigshafen","Kurfürstenstr.","29",,"COBADEFFXXX","COMMERZBANK AG",,"standard","0","lieferantenwechsel@pfalzwerke.de"
"9903171000001","provider","UNIT ENERGY ","electricity","1","61352","Bad Homburg v.d.H","Obere-Eschbach-Str.","104",,"ABNADEFFFRA","The Royal Bank of Scotland Niederlassung Frankfurt",,"standard","0",
"4260019490001","provider","PETRO CARBO CHEM ","electricity","1","47198","Duisburg","Baumstr.","42",,"COBADEFFXXX","COMMERZBANK AG",,"standard","0","v.kuehn@pccag.com"
"9903176000006","provider","FAIRENERGIE ","electricity","1","72762","Reutlingen","Hauffstr.","86",,"SOLADES1REU","KREISSPARKASSE REUTLINGEN",,"standard","0","lieferantenwechsel@fairenergie.de"
"9903227000004","provider","SW STOCKACH ","electricity","1","4294967295","Stockach","Ablaßwiesen","8",,"SOLADES1SNG","SPARKASSE HEGAU-BODENSEE",,"standard","0","kundenservice@stadtwerke-stockach.de"
"9903200000005","provider","SW GIEßEN ","electricity","1","35398","Gießen","Lahnstr.","31",,"DRESDEFF513","COMMERZBANK AG (FORMERLY DRESDNER BANK AG)",,"standard","0","netznutzung@stadtwerke-giessen.de"
"9903573000005","provider","SW BRETTEN ","electricity","1","75015","Bretten",,,,"BRUSDE66XXX","SPARKASSE KRAICHGAU BRUCHSAL-BRETTEN-SINSHEIM",,"standard","0","d.schaarschmidt@stadtwerke-bretten.de"
"9903579000009","provider","SW TAUBERFRANKEN ","electricity","1","97967","Bad Mergentheim",,,,"SOLADES1TBB","SPARKASSE TAUBERFRANKEN",,"standard","0","roland.keitel@stadtwerk-tauberfranken.de"
"9905005000008","provider","SW WALDKIRCH ","electricity","1","79183","Waldkirch","Fabrikstr.","15",,"FRSPDE66XXX","SPARKASSE FREIBURG-NOERDLICHER BREISGAU",,"standard","0","pross@sw-waldkirch.de"
"9903970000004","provider","SW LANGEN ","electricity","1","63225","Langen",,,,"HELADEF1SLS","SPARKASSE LANGEN-SELIGENSTADT",,"standard","0","wb@stadtwerke-langen.de"
"9903526000002","provider","SW WÜRZBURG ","electricity","1","97070","Würzburg","Haugerring","5",,"BYLADEM1SWU","SPARKASSE MAINFRANKEN WUERZBURG",,"standard","0","lieferantenwechsel.stw@wvv.de"
"9903173000009","provider","SW KONSTANZ ","electricity","1","78467","Konstanz","Max-Stromeyer-Str.","21-29",,"SOLADES1KNZ","SPARKASSE BODENSEE (FORMERLY SPARKASSE KONSTANZ)",,"standard","0","clearing@edi.stadtwerke-konstanz.de"
"9903153000003","provider","GGEW GRUPPEN-GAS-  EW BERGSTR. AG ","electricity","1","64625","Bensheim","Dammstr.","68",,"HELADEF1BEN","SPARKASSE BENSHEIM",,"standard","0","Kundenservice@ggew.de"
"9903548000006","provider","SW RADOLFZELL ","electricity","1","78315","Radolfzell","Untertorstr.","7-9",,"SOLADES1SNG","SPARKASSE HEGAU-BODENSEE",,"standard","0","lieferantenwechsel@stadtwerke-radolfzell.de"
"9903086000005","provider","RHEINENERGIE AG ","electricity","1","50823","Köln","Parkgürtel","24",,"COLSDE33XXX","SPARKASSE KOELNBONN (FORMER STADTSPARKASSE KOELN)",,"standard","0","kuendigungen@rheinenergie.com"
"9903880000003","provider","ENERGIERIED ","electricity","1","68623","Lampertheim","Inustriestrasse","40",,NULL,NULL,,"standard","0","Lieferantenwechsel@ENERGIERIED.de"
"9903484000003","provider","GENO STROM ","electricity","1","73312","Geislingen","Kantstr.","5",,"GENODES1VGP","VOLKSBANK GOEPPINGEN EG",,"standard","0","wechselmanagement@geno-energie.de"
"9903510000000","provider","SW MÖSSINGEN ","electricity","1","72116","Mössingen","Freiherr-vom-Stein-Str.","18",,"SOLADES1TUB","KREISSPARKASSE TUEBINGEN",,"standard","0","n.hummel@moessingen.de"
"9903192000006","provider","SWB VERTRIEB BREMEN GMBH ","electricity","1","28078","Bremen","Theodor-Heuss-Allee","20",,NULL,NULL,,"standard","0","marktkommunikation-gk@swb-gruppe.de"
"9903453000000","provider","EHINGER ENERGIE GMBH & CO. KG","electricity","1","89584","Ehingen","Groggentalgasse","5",,"GENODES1EHI","DONAU-ILLER BANK EG",,"standard","0","vertrieb@ehinger-energie.de"
"9903676000001","provider","SW SCHRAMBERG","electricity","1","78713","Schramberg","Gustav-Maier-Str.","11",,"SOLADES1RWL","KREISSPARKASSE ROTTWEIL",,"standard","0","vertrieb@stadtwerke-schramberg.de"
"9903653000008","provider","SW SCHWÄBISCH HALL ","electricity","1","74523","Schwäbisch Hall","An der Limpurgbrücke","1",,"SOLADES1SHA","SPARKASSE SCHWAEBISCH HALL-CRAILSHEIM",,"standard","0","lieferantenwechsel@stadtwerke-hall.de"
"9904162000000","provider","ENEREGIO ","electricity","1","76461","Muggensturm","Rastatter Str.","14/16",,NULL,NULL,,"standard","0","Kundenservice@eneregio.com "
"4041407000008","net","NETZE BW GMBH","electricity","1","70567","Stuttgart","Schelmenwasenstr.","15","DE52600501010004021322","SOLADEST600","LANDESBANK BADEN-WUERTTEMBERG",,"standard","0","nzm-strom@netze-bw.de"
"9903641000002","provider","ENRW ROTTWEIL ","electricity","1","78628","Rottweil","In der Au","5",,"SOLADES1RWL","KREISSPARKASSE ROTTWEIL",,"standard","0","axel.bommer@enrw.de"
"9903569000001","provider","SW VILLINGEN-SCHWENNINGEN ","electricity","1","78048","Villingen-Schwenningen","Pforzheimer Str.","1",,"SOLADES1VSS","SPARKASSE SCHWARZWALD-BAAR",,"standard","0","julia.kaluza@svs-energie.de"
